Name,NK,Enterocyte,MUC1+ Enterocyte,TA,CD66+ Enterocyte,Paneth,Smooth muscle,M1 Macrophage,Goblet,Neuroendocrine,CD57+ Enterocyte,Lymphatic,CD8+ T,DC,M2 Macrophage,B,Neutrophil,Endothelial,Cycling TA,Plasma,CD4+ T cell,Stroma,Nerve,ICC,CD7+ Immune
B009A_reg001_HE_montage,4,2263,1,413,108,6,76,1,1849,50,5,103,597,11,5,,1,7,803,15,25,30,21,14,3
B009A_reg002_HE_montage,2,3002,2,333,38,24,7,1,649,76,2,5,1348,5,3,,1,2,14,4,17,16,5,5,67
B009A_reg003_HE_montage,54,4771,1582,735,96,249,261,75,1283,148,351,185,756,71,79,,12,472,282,68,237,224,192,254,48
B009A_reg004_HE_montage,2,8544,5,1125,879,,156,8,3514,120,8,212,1672,69,6,,7,36,1846,29,27,91,3,27,3
B009B_reg001_HE_montage,4,2367,292,1037,58,338,70,62,1591,162,1,81,638,22,37,78,11,49,456,61,119,69,31,131,7
B009B_reg002_HE_montage,97,11427,54,348,145,740,293,105,1238,270,25,234,5920,91,173,3,17,704,66,853,919,464,89,195,92
B009B_reg003_HE_montage,2,777,157,810,71,,33,9,1589,108,7,94,165,10,18,,1,4,975,9,27,39,16,36,2
B009B_reg004_HE_montage,,1057,229,1023,210,,51,18,2123,147,11,108,300,43,30,,9,29,258,68,31,39,11,56,1
B010A_reg001_HE_montage,30,4021,152,421,23,208,336,10,1342,110,18,267,1022,80,312,4,55,687,972,1074,571,226,173,289,17
B010A_reg002_HE_montage,,398,268,39,258,,32,,279,7,,5,34,4,10,,2,7,531,1,5,27,,6,
B010A_reg003_HE_montage,9,597,22,155,34,21,294,48,901,43,,28,1602,60,163,32,56,704,498,284,344,40,31,65,91
B010A_reg004_HE_montage,1,388,158,334,268,,23,,486,19,1,15,56,3,7,1,4,5,485,18,10,21,2,3,
B010B_reg001_HE_montage,11,665,357,605,474,,38,1,1099,76,8,24,83,13,11,1,3,13,587,15,29,20,1,18,1
B010B_reg002_HE_montage,10,1855,93,812,143,157,122,14,1609,82,1,77,1021,112,133,22,26,239,765,178,305,29,7,186,6
B010B_reg003_HE_montage,,269,12,138,15,8,11,,79,12,,12,60,11,10,,6,41,472,2,29,15,17,7,1
B010B_reg004_HE_montage,10,1473,56,518,13,55,77,,640,63,3,63,302,33,106,2,5,134,2292,171,205,76,87,35,2
B011A_reg001_HE_montage,3,509,160,381,106,,116,,626,29,,85,53,29,32,,4,23,516,64,34,98,18,20,
B011A_reg002_HE_montage,6,840,165,355,217,,49,,691,37,,89,78,12,16,,7,25,1040,55,62,115,23,47,4
B011A_reg003_HE_montage,,441,2,200,13,10,4,,254,18,,6,52,11,4,,4,8,609,3,21,7,4,1,1
B011A_reg004_HE_montage,1,596,179,294,139,,36,,665,36,1,54,84,21,6,,2,24,1317,8,22,58,5,22,10
B011B_reg001_HE_montage,1,801,352,139,330,,12,,87,21,,60,26,18,10,,31,11,678,1,7,49,5,4,1
B011B_reg002_HE_montage,,380,4,318,23,92,5,,497,29,,19,148,7,18,,,17,479,4,11,22,2,3,1
B011B_reg003_HE_montage,2,2380,27,105,13,23,56,23,113,64,9,38,308,5,69,,12,115,63,73,65,35,6,8,40
B011B_reg004_HE_montage,1,1584,202,461,276,,42,,647,18,1,37,166,1,6,,8,3,376,29,8,8,1,4,41
B012A_reg001_HE_montage,2,1397,197,449,121,,54,1,2162,44,2,48,305,17,9,,3,12,335,24,18,16,2,17,25
B012A_reg002_HE_montage,4,2718,46,336,11,125,24,3,330,105,11,13,511,4,21,1,2,33,70,30,30,17,5,9,25
B012A_reg003_HE_montage,6,3501,13,144,49,44,10,11,695,89,3,14,1169,3,7,1,1,12,251,16,18,260,12,,52
B012A_reg004_HE_montage,22,13254,594,714,534,1,536,21,7275,212,7,109,1414,26,41,,22,61,1518,105,62,602,13,46,115
B012B_reg001_HE_montage,16,10220,355,367,545,,252,11,3749,237,11,125,854,36,43,,30,69,767,87,51,541,24,54,102
B012B_reg002_HE_montage,14,2384,26,34,13,209,71,34,366,16,,32,558,15,34,,12,79,16,32,58,215,5,23,9
